,,,,앤드피스,,,CAM 압입 (최고압입력kN/최종압입력kN/판정),,,,,,,,,,,,,,,,,,,,,,,,,,,CAM 토크(N.m)/위상각도(도)/가공여유 검사,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
바코드,모델명,라인/장비/팔레트,일시,최종위치(mm),압입력(kN),판정,CAM1 최고압입력(kN),CAM1 최종압입력(kN), 판정,CAM2 최고압입력(kN),CAM2 최종압입력(kN), 판정,CAM3 최고압입력(kN),CAM3 최종압입력(kN), 판정,CAM4 최고압입력(kN),CAM4 최종압입력(kN), 판정,CAM5 최고압입력(kN),CAM5 최종압입력(kN), 판정,CAM6 최고압입력(kN),CAM6 최종압입력(kN), 판정,CAM7 최고압입력(kN),CAM7 최종압입력(kN), 판정,CAM8 최고압입력(kN),CAM8 최종압입력(kN), 판정,CAM9 최고압입력(kN),CAM9 최종압입력(kN), 판정,CAM1 토크 1번째 (N.m),판정,CAM1 토크 2번째 (N.m),판정,CAM2 토크 1번째 (N.m),판정,CAM2 토크 2번째(N.m),판정,CAM3 토크 1번째(N.m),판정,CAM3 토크 2번째(N.m),판정,CAM4 토크 1번째(N.m),판정,CAM4 토크 2번째(N.m),판정,CAM5 토크 1번째(N.m),판정,CAM5토크 2번째(N.m),판정,CAM6 토크 1번째(N.m),판정,CAM6 토크 2번째(N.m),판정,CAM7 토크 1번째 (N.m),판정,CAM7 토크 2번째 (N.m),판정,CAM8 토크 1번째 (N.m),판정,CAM8 토크 2번째 (N.m),판정,CAM9 토크 1번째 (N.m),판정,CAM9 토크 2번째 (N.m),판정,,,CAM1 위상각,판정,,,,CAM2 위상각,판정,,,,CAM3 위상각,판정,,,,CAM4 위상각,판정,,,,CAM5 위상각,판정,,,,CAM6 위상각,판정,,,,,,,,,,
2502250001C,NEW KAPPAEX1.0,CM4P6,2025-02-24 23:51,18.69,27.83,OK,24.17,23.55,OK,23.09,22.5,OK,22.28,21.88,OK,20.93,20.58,OK,22.28,22.12,OK,22.89,22.19,OK,22.28,21.73,OK,0,0,,0,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,,,52.24,OK,,,,52.51,OK,,,,-292.51,OK,,,,-291.74,OK,,,,172.8,OK,,,,172.38,OK,,,,,,,,,,
2502250002C,NEW KAPPAEX1.0,CM5P3,2025-02-24 23:52,18.693,27.48,OK,24.97,24.44,OK,22.34,21.84,OK,21.55,21.26,OK,21.48,21.15,OK,20.43,20.02,OK,22.22,21.77,OK,21.67,21.38,OK,0,0,,0,0,,2.19,OK,2.38,OK,2.32,OK,2.3,OK,2.27,OK,2.3,OK,2.3,OK,0,,0,,2.4,OK,2.43,OK,2.31,OK,2.29,OK,2.34,OK,2.44,OK,2.2,OK,0,,0,,,,52.84,OK,,,,52.73,OK,,,,-291.03,OK,,,,-292.41,OK,,,,172.49,OK,,,,172.75,OK,,,,,,,,,,
2502250003C,NEW KAPPAEX1.0,CM1P8,2025-02-24 23:53,18.684,27.4,OK,23.6,23.34,OK,21.48,21.01,OK,22.6,22.18,OK,20.5,19.82,OK,21.36,21.15,OK,21.1,20.5,OK,20.47,20.01,OK,0,0,,0,0,,5.89,OK,6.22,OK,6.22,OK,6.17,OK,6.18,OK,6.52,OK,6.29,OK,0,,0,,5.4,OK,5.48,OK,5.73,OK,5.61,OK,5.49,OK,5.45,OK,5.4,OK,0,,0,,,,52.51,OK,,,,50.97,OK,,,,-291.74,OK,,,,-292.67,OK,,,,172.62,OK,,,,172.72,OK,,,,,,,,,,
2502250008C,NEW KAPPAEX1.0,CM1P5,2025-02-24 23:54,18.695,28.51,OK,24.04,23.46,OK,22.57,21.69,OK,24.04,23.55,OK,20.57,20.03,OK,21.52,21.13,OK,20.64,20.03,OK,20.54,19.96,OK,0,0,,0,0,,6,OK,6.29,OK,6.2,OK,6.16,OK,6.24,OK,6.69,OK,6.43,OK,0,,0,,5.46,OK,5.59,OK,5.71,OK,5.87,OK,5.48,OK,5.45,OK,5.35,OK,0,,0,,,,53.27,OK,,,,52.69,OK,,,,-291.2,OK,,,,-290.88,OK,,,,172.58,OK,,,,173.08,OK,,,,,,,,,,
2502250004C,NEW KAPPAEX1.0,CM2P7,2025-02-24 23:55,18.694,27.97,OK,23.22,22.73,OK,20.89,20.33,OK,22.89,22.5,OK,22.36,21.77,OK,21.42,21.35,OK,22.12,21.42,OK,21.61,20.84,OK,0,0,,0,0,,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,0,,0,,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,15.36,OK,0,,0,,,,53.87,OK,,,,52.94,OK,,,,-291.56,OK,,,,-291.62,OK,,,,171.53,OK,,,,173.27,OK,,,,,,,,,,
2502250005C,NEW KAPPAEX1.0,CM3P4,2025-02-24 23:56,18.687,29.56,OK,21.81,21.5,OK,20.14,19.87,OK,20.43,20.32,OK,20.05,19.82,OK,20.48,20.41,OK,21.29,20.93,OK,21.9,21.52,OK,0,0,,0,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,,,53.63,OK,,,,52.53,OK,,,,-292.09,OK,,,,-291.44,OK,,,,171.78,OK,,,,170.91,OK,,,,,,,,,,
2502250006C,NEW KAPPAEX1.0,CM4P1,2025-02-24 23:57,18.698,29.1,OK,22.8,22.23,OK,22.34,21.88,OK,21.7,21.24,OK,21.53,21.09,OK,22.54,22.43,OK,22.52,21.86,OK,20.38,19.99,OK,0,0,,0,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,OK,0,,0,,,,52.36,OK,,,,52.38,OK,,,,-290.99,OK,,,,-291.72,OK,,,,170.68,OK,,,,170.87,OK,,,,,,,,,,
2502250007C,NEW KAPPAEX1.0,CM5P2,2025-02-24 23:57,18.695,27.95,OK,21.89,21.5,OK,21.17,20.76,OK,21.89,21.58,OK,20.67,20.43,OK,21.72,21.29,OK,21.74,21.24,OK,22.34,22.08,OK,0,0,,0,0,,2.19,OK,2.32,OK,2.36,OK,2.32,OK,2.27,OK,2.27,OK,2.32,OK,0,,0,,2.37,OK,2.33,OK,2.33,OK,2.32,OK,2.29,OK,2.37,OK,2.22,OK,0,,0,,,,53.35,OK,,,,52.4,OK,,,,-292.16,OK,,,,-292.34,OK,,,,172.06,OK,,,,171.41,OK,,,,,,,,,,
