바코드,모델명,라인/장비/팔레트,일시,CAM1 위상각,판정,CAM2 위상각,판정,CAM3 위상각,판정,CAM4 위상각,판정,CAM5 위상각,판정,CAM6 위상각,판정
2502250069D,ATKINSON 3.8 OCV,DM4P2,2025-02-25 13:44,80.67,NG,80.88,NG,158.99,NG,159.13,NG,38.58,NG,38.64,NG
2502250082D,ATKINSON 3.8 OCV,DM4P7,2025-02-25 13:52,80.96,NG,81.08,NG,159.61,NG,159.39,NG,38.65,NG,38.97,NG
2502250087D,ATKINSON 3.8 OCV,DM4P2,2025-02-25 13:58,80.6,NG,80.95,NG,159.92,NG,159.64,NG,39.19,NG,39.22,NG
2502250077D,ATKINSON 3.8 OCV,DM4P6,2025-02-25 14:07,80.87,NG,81.3,NG,159.06,NG,158.84,NG,38.89,NG,38.63,NG
2502250092D,ATKINSON 3.8 OCV,DM4P6,2025-02-25 14:08,81.21,NG,81.63,NG,158.91,NG,159.06,NG,38.59,NG,38.57,NG
2502250108D,ATKINSON 3.8 OCV,DM4P6,2025-02-25 14:26,80.89,NG,81.64,NG,158.73,NG,158.76,NG,38.37,NG,38.42,NG
2502250104D,ATKINSON 3.8 OCV,DM4P2,2025-02-25 14:31,80.74,NG,81,NG,159.47,NG,159.43,NG,38.69,NG,38.68,NG
2502250113D,ATKINSON 3.8 OCV,DM4P3,2025-02-25 14:33,81.13,NG,81.1,NG,159.74,NG,159.37,NG,38.83,NG,39.23,NG
2502250118D,ATKINSON 3.8 OCV,DM4P4,2025-02-25 15:01,80.74,NG,80.89,NG,159.46,NG,159.32,NG,38.81,NG,38.9,NG
2502250126D,ATKINSON 3.8 OCV,DM4P7,2025-02-25 15:05,81.05,NG,81.08,NG,159.59,NG,159.33,NG,38.76,NG,38.52,NG
2502250131D,ATKINSON 3.8 OCV,DM4P6,2025-02-25 15:10,80.82,NG,81.13,NG,159.22,NG,159.18,NG,38.77,NG,38.7,NG
2502250136D,ATKINSON 3.8 OCV,DM4P2,2025-02-25 15:15,80.83,NG,81.13,NG,159.38,NG,159.34,NG,38.74,NG,38.65,NG
2502250099D,ATKINSON 3.8 OCV,DM4P7,2025-02-25 15:19,80.78,NG,80.58,NG,160.07,NG,159.69,NG,39.15,NG,39.13,NG
2502250141D,ATKINSON 3.8 OCV,DM4P5,2025-02-25 15:23,80.86,NG,80.83,NG,159.71,NG,159.75,NG,38.75,NG,38.95,NG
